NAME	PROBE	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HMOX1	null	null	105	3.8635802268981934	0.03354731	Yes	
row_1	RPS12	null	null	161	2.733853816986084	0.058039032	Yes	
row_2	HINT1	null	null	318	1.9505680799484253	0.07095286	Yes	
row_3	EI24	null	null	527	1.5840226411819458	0.07826371	Yes	
row_4	RAD51C	null	null	737	1.3615564107894897	0.08336767	Yes	
row_5	ATF3	null	null	818	1.3163604736328125	0.09307008	Yes	
row_6	RAP2B	null	null	869	1.2769962549209595	0.103560746	Yes	
row_7	ISCU	null	null	958	1.2267813682556152	0.112077765	Yes	
row_8	S100A10	null	null	1003	1.2067426443099976	0.122118205	Yes	
row_9	TPD52L1	null	null	1046	1.1850289106369019	0.13202518	Yes	
row_10	TGFA	null	null	1059	1.1778701543807983	0.14303422	Yes	
row_11	VAMP8	null	null	1109	1.1465882062911987	0.15229318	Yes	
row_12	S100A4	null	null	1134	1.138547420501709	0.1624503	Yes	
row_13	TSC22D1	null	null	1198	1.1114226579666138	0.17081973	Yes	
row_14	CCNK	null	null	1217	1.1050208806991577	0.18088453	Yes	
row_15	RPL36	null	null	1230	1.0975942611694336	0.19111133	Yes	
row_16	FOS	null	null	1268	1.0862557888031006	0.2002511	Yes	
row_17	TM7SF3	null	null	1344	1.05898118019104	0.20764078	Yes	
row_18	IER5	null	null	1482	1.0117788314819336	0.21214873	Yes	
row_19	TRIAP1	null	null	1493	1.0095572471618652	0.22159576	Yes	
row_20	PPP1R15A	null	null	1529	0.9953522682189941	0.22992785	Yes	
row_21	NUDT15	null	null	1634	0.9600502252578735	0.23522073	Yes	
row_22	CEBPA	null	null	1680	0.9464375376701355	0.24268556	Yes	
row_23	MXD4	null	null	1773	0.9216232299804688	0.24807273	Yes	
row_24	ACVR1B	null	null	1781	0.9193368554115295	0.2567578	Yes	
row_25	TM4SF1	null	null	1827	0.9063433408737183	0.2638319	Yes	
row_26	SLC35D1	null	null	1848	0.9021434783935547	0.27184165	Yes	
row_27	DRAM1	null	null	1868	0.8956551551818848	0.2798272	Yes	
row_28	CCND3	null	null	2015	0.8632523417472839	0.2825363	Yes	
row_29	FOXO3	null	null	2037	0.8564683794975281	0.29006186	Yes	
row_30	PROCR	null	null	2289	0.7963659167289734	0.28801778	Yes	
row_31	SERTAD3	null	null	2370	0.7754000425338745	0.2924488	Yes	
row_32	FAM162A	null	null	2373	0.7751135230064392	0.29992378	Yes	
row_33	IP6K2	null	null	2405	0.7691049575805664	0.30620745	Yes	
row_34	CDKN1A	null	null	2532	0.7453105449676514	0.30854845	Yes	
row_35	BAX	null	null	2591	0.7344043254852295	0.3134393	Yes	
row_36	LDHB	null	null	2692	0.7169855237007141	0.3165199	Yes	
row_37	PERP	null	null	2696	0.7157613039016724	0.32337746	Yes	
row_38	SLC3A2	null	null	2724	0.7115073204040527	0.32925612	Yes	
row_39	PVT1	null	null	2768	0.7056083083152771	0.3344523	Yes	
row_40	BTG2	null	null	2771	0.7051756381988525	0.34124577	Yes	
row_41	SFN	null	null	2773	0.7049192190170288	0.3480758	Yes	
row_42	GM2A	null	null	2870	0.6873279213905334	0.3510236	Yes	
row_43	MXD1	null	null	2908	0.6814673542976379	0.35621893	Yes	
row_44	APP	null	null	2910	0.6812604069709778	0.36281842	Yes	
row_45	BTG1	null	null	2979	0.669520914554596	0.36668643	Yes	
row_46	CDH13	null	null	3003	0.6666011810302734	0.37228373	Yes	
row_47	SAT1	null	null	3095	0.6531793475151062	0.37509412	Yes	
row_48	AK1	null	null	3104	0.6522024869918823	0.381137	Yes	
row_49	ZBTB16	null	null	3209	0.6381362676620483	0.383293	Yes	
row_50	TGFB1	null	null	3399	0.6114240884780884	0.3818685	Yes	
row_51	CDKN2A	null	null	3419	0.6089768409729004	0.38706052	Yes	
row_52	RPS27L	null	null	3457	0.6031605005264282	0.39149278	Yes	
row_53	TAP1	null	null	3475	0.6005321741104126	0.39668065	Yes	
row_54	STOM	null	null	3534	0.5917137861251831	0.40018106	Yes	
row_55	EPHX1	null	null	3598	0.5840132832527161	0.40341115	Yes	
row_56	PPM1D	null	null	3647	0.5777750611305237	0.40716636	Yes	
row_57	IER3	null	null	3679	0.5741203427314758	0.41155	Yes	
row_58	SDC1	null	null	3740	0.5666931867599487	0.4147285	Yes	
row_59	COQ8A	null	null	3848	0.5545572638511658	0.41595286	Yes	
row_60	DCXR	null	null	3937	0.5445801019668579	0.41782215	Yes	
row_61	SLC19A2	null	null	3946	0.543282687664032	0.4228037	Yes	
row_62	TP63	null	null	4002	0.5382544994354248	0.42590037	Yes	
row_63	XPC	null	null	4101	0.5291100740432739	0.42722833	Yes	
row_64	TRAFD1	null	null	4113	0.5270057320594788	0.43193406	Yes	
row_65	HRAS	null	null	4176	0.5220327973365784	0.43459925	Yes	
row_66	BMP2	null	null	4258	0.5148916244506836	0.43645266	Yes	
row_67	IFI30	null	null	4513	0.4904485046863556	0.43131036	Yes	
row_68	JUN	null	null	4548	0.4876142144203186	0.43473384	Yes	
row_69	NDRG1	null	null	4583	0.48420730233192444	0.43812415	Yes	
row_70	TP53	null	null	4903	0.4570316672325134	0.43011725	No	
row_71	OSGIN1	null	null	5164	0.42964544892311096	0.42414808	No	
row_72	ST14	null	null	5327	0.417825847864151	0.42189172	No	
row_73	RNF19B	null	null	5452	0.40736228227615356	0.4210177	No	
row_74	MKNK2	null	null	5831	0.37943148612976074	0.40995002	No	
row_75	SPHK1	null	null	5855	0.37718433141708374	0.4127271	No	
row_76	PRMT2	null	null	5949	0.36941638588905334	0.41269422	No	
row_77	RACK1	null	null	6073	0.3608209788799286	0.41140574	No	
row_78	APAF1	null	null	6260	0.3466757833957672	0.4075186	No	
row_79	PCNA	null	null	6286	0.34496966004371643	0.40990362	No	
row_80	POM121	null	null	6323	0.34237876534461975	0.41183373	No	
row_81	TOB1	null	null	6354	0.3401254713535309	0.41397628	No	
row_82	PDGFA	null	null	6359	0.33973392844200134	0.41713056	No	
row_83	CDKN2B	null	null	6376	0.3384157121181488	0.4198033	No	
row_84	RAD9A	null	null	6416	0.33528122305870056	0.42154706	No	
row_85	VDR	null	null	6425	0.33448389172554016	0.42449397	No	
row_86	KIF13B	null	null	6476	0.3308044672012329	0.42576444	No	
row_87	CLCA2	null	null	6724	0.31055182218551636	0.41914254	No	
row_88	AEN	null	null	6795	0.305154949426651	0.41938186	No	
row_89	VWA5A	null	null	6947	0.29564914107322693	0.4163646	No	
row_90	HEXIM1	null	null	7070	0.28778353333473206	0.4144035	No	
row_91	CYFIP2	null	null	7087	0.28651511669158936	0.41657045	No	
row_92	CD82	null	null	7139	0.28312644362449646	0.4173373	No	
row_93	PTPN14	null	null	7327	0.27092182636260986	0.41267288	No	
row_94	RPL18	null	null	7375	0.2674049139022827	0.41344276	No	
row_95	CD81	null	null	7456	0.26222604513168335	0.41287315	No	
row_96	ZMAT3	null	null	7599	0.2530834376811981	0.40979266	No	
row_97	KLF4	null	null	7645	0.2501349151134491	0.41047236	No	
row_98	SOCS1	null	null	7856	0.2373015284538269	0.40458193	No	
row_99	MAPKAPK3	null	null	7862	0.2369711548089981	0.4066958	No	
row_100	FDXR	null	null	8381	0.22000402212142944	0.38860604	No	
row_101	ANKRA2	null	null	8531	0.21151794493198395	0.3848471	No	
row_102	SP1	null	null	8575	0.20932316780090332	0.38520724	No	
row_103	EPHA2	null	null	8604	0.20737501978874207	0.3861343	No	
row_104	ADA	null	null	8700	0.2016969919204712	0.38438895	No	
row_105	KLK8	null	null	9031	0.19602718949317932	0.373409	No	
row_106	TAX1BP3	null	null	9132	0.18979480862617493	0.37135237	No	
row_107	SEC61A1	null	null	9207	0.18524660170078278	0.370267	No	
row_108	RGS16	null	null	9218	0.18489646911621094	0.3716781	No	
row_109	F2R	null	null	9392	0.1734938770532608	0.36661118	No	
row_110	RXRA	null	null	9601	0.1627143919467926	0.36007208	No	
row_111	SLC7A11	null	null	9708	0.1576686054468155	0.357468	No	
row_112	STEAP3	null	null	9985	0.1421045958995819	0.34807193	No	
row_113	CTSD	null	null	9997	0.14162173867225647	0.3490223	No	
row_114	BAK1	null	null	10189	0.13091573119163513	0.34283736	No	
row_115	KRT17	null	null	10246	0.12744957208633423	0.34189188	No	
row_116	GADD45A	null	null	10287	0.12494058161973953	0.34154692	No	
row_117	DDIT4	null	null	10371	0.12042531371116638	0.33947834	No	
row_118	DEF6	null	null	10478	0.11292535066604614	0.33643827	No	
row_119	RRAD	null	null	10575	0.10767704248428345	0.3337377	No	
row_120	IRAK1	null	null	10628	0.10443296283483505	0.33272415	No	
row_121	ELP1	null	null	10722	0.09984125196933746	0.3300644	No	
row_122	WRAP73	null	null	10768	0.09776110202074051	0.32925928	No	
row_123	PHLDA3	null	null	10802	0.0955149456858635	0.32890102	No	
row_124	ZFP36L1	null	null	10880	0.09150777757167816	0.32678503	No	
row_125	BLCAP	null	null	11185	0.07493304461240768	0.3156407	No	
row_126	RETSAT	null	null	11380	0.06501586735248566	0.3086964	No	
row_127	FUCA1	null	null	11584	0.05329686403274536	0.30128637	No	
row_128	TRAF4	null	null	11813	0.04104353114962578	0.29278043	No	
row_129	ABHD4	null	null	12049	0.028044916689395905	0.28387436	No	
row_130	DDIT3	null	null	12241	0.01762024313211441	0.27658543	No	
row_131	CDK5R1	null	null	12281	0.015571501106023788	0.27521378	No	
row_132	PITPNC1	null	null	12331	0.01327123399823904	0.27342913	No	
row_133	PRKAB1	null	null	12411	0.00840587168931961	0.2704252	No	
row_134	RB1	null	null	12513	0.0021769062150269747	0.26650128	No	
row_135	RAB40C	null	null	13553	-0.012529352679848671	0.226039	No	
row_136	RCHY1	null	null	13586	-0.014726193621754646	0.22493255	No	
row_137	TCN2	null	null	13588	-0.014781578443944454	0.22503753	No	
row_138	DDB2	null	null	14024	-0.03540343791246414	0.208391	No	
row_139	CSRNP2	null	null	14173	-0.04342832416296005	0.20303316	No	
row_140	ABAT	null	null	14174	-0.04351866990327835	0.20345724	No	
row_141	MDM2	null	null	14251	-0.04712245985865593	0.20094779	No	
row_142	SERPINB5	null	null	14308	-0.04869592562317848	0.19923489	No	
row_143	TRIB3	null	null	14591	-0.058637071400880814	0.18879108	No	
row_144	UPP1	null	null	14633	-0.060716744512319565	0.18778124	No	
row_145	PLK2	null	null	14744	-0.0661245733499527	0.18412888	No	
row_146	TPRKB	null	null	14859	-0.07187219709157944	0.18037629	No	
row_147	ABCC5	null	null	15162	-0.08778713643550873	0.16943532	No	
row_148	TXNIP	null	null	15292	-0.09550648182630539	0.16532712	No	
row_149	CCNG1	null	null	15313	-0.09656570106744766	0.16548689	No	
row_150	HDAC3	null	null	15441	-0.10363638401031494	0.16153602	No	
row_151	CCND2	null	null	15503	-0.10722867399454117	0.1601982	No	
row_152	TNFSF9	null	null	15519	-0.10793426632881165	0.16066405	No	
row_153	ITGB4	null	null	16171	-0.147012397646904	0.13666792	No	
row_154	HBEGF	null	null	17024	-0.21129344403743744	0.10544692	No	
row_155	RALGDS	null	null	17044	-0.21283747255802155	0.10677876	No	
row_156	BAIAP2	null	null	17091	-0.21767261624336243	0.10710307	No	
