NAME	PROBE	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TSC22D1	null	null	266	3.073024272918701	-0.0018341253	No	
row_1	LDHB	null	null	638	2.4184627532958984	-0.0095921215	No	
row_2	SAT1	null	null	783	2.280121088027954	-0.008868455	No	
row_3	TM4SF1	null	null	927	2.1713266372680664	-0.00840864	No	
row_4	EI24	null	null	990	2.13869571685791	-0.004875738	No	
row_5	RAD51C	null	null	1016	2.119931936264038	5.0175684E-5	No	
row_6	SLC19A2	null	null	1036	2.1064820289611816	0.0051730075	No	
row_7	NUDT15	null	null	1118	2.056039810180664	0.007733615	No	
row_8	HINT1	null	null	1234	1.990709900856018	0.008784254	No	
row_9	VAMP8	null	null	1535	1.8455889225006104	0.0022045579	No	
row_10	CDH13	null	null	1849	1.7137171030044556	-0.005250096	No	
row_11	BTG1	null	null	1925	1.6802148818969727	-0.0035015163	No	
row_12	SLC35D1	null	null	1953	1.668042778968811	8.8099434E-5	No	
row_13	RCHY1	null	null	2128	1.6019294261932373	-0.0022483245	No	
row_14	RB1	null	null	2203	1.5793427228927612	-7.415379E-4	No	
row_15	S100A10	null	null	2780	1.3998667001724243	-0.019343069	No	
row_16	SP1	null	null	3087	1.3120720386505127	-0.02764258	No	
row_17	MXD1	null	null	3110	1.3065974712371826	-0.024864016	No	
row_18	STOM	null	null	3182	1.2831209897994995	-0.024064803	No	
row_19	CCNK	null	null	3742	1.1426573991775513	-0.042718437	No	
row_20	TM7SF3	null	null	4004	1.0838525295257568	-0.049895626	No	
row_21	TPD52L1	null	null	4006	1.0838229656219482	-0.046917044	No	
row_22	GM2A	null	null	4180	1.045248031616211	-0.05076435	No	
row_23	F2R	null	null	4262	1.0300052165985107	-0.051060487	No	
row_24	ELP1	null	null	4468	0.9867562055587769	-0.056320604	No	
row_25	TPRKB	null	null	4603	0.9566339254379272	-0.05889126	No	
row_26	FUCA1	null	null	4733	0.9261860251426697	-0.06135138	No	
row_27	SLC7A11	null	null	5051	0.8612158298492432	-0.07133587	No	
row_28	FAM162A	null	null	5193	0.831936776638031	-0.07452714	No	
row_29	CDKN2AIP	null	null	5415	0.7881467342376709	-0.080965206	No	
row_30	SERTAD3	null	null	5682	0.7395671010017395	-0.08929628	No	
row_31	S100A4	null	null	5692	0.7368048429489136	-0.08759637	No	
