"id"	"length"	"DP1"	"DP2"	"DW1"	"DW2"	"NP1"	"NP2"	"NW1"	"NW2"	"H2O_DMSO_1"	"H2O_DMSO_2"	"H2O_DMSO_3"	"H2O_Nutlin_1"	"H2O_Nutlin_2"	"H2O_Nutlin_3"	"Peg_6_DMSO_1"	"Peg_6_DMSO_2"	"Peg6_DMSO_3"	"Peg6_Nutlin_1"	"Peg6_Nutlin_2"	"Peg6_Nutlin_3"	"gene"	"a_type"	"a_num"	"accession"	"sums"	"normalized_sums"
"NM_130786_A1BG"	3382	13	12	24	12	13	11	20	33	17	5	33	27	4	40	15	5	41	25	5	38	"A1BG"	"NM"	"130786"	"NM_130786"	393	0.116203429923122
"NR_015380_A1BG-AS1"	2130	20	14	27	21	37	15	32	33	10	7	24	21	6	27	13	11	32	22	7	35	"A1BG-AS1"	"NR"	"015380"	"NR_015380"	414	0.194366197183099
"NM_001370131_A1CF"	9197	53	59	50	54	79	37	59	32	10	10	11	9	22	16	10	31	15	19	32	34	"A1CF"	"NM"	"001370131"	"NM_001370131"	642	0.0698053713167337
"NM_001347423_A2M"	4659	19	30	9	12	20	18	33	14	20	1	23	29	1	22	22	3	28	21	5	29	"A2M"	"NM"	"001347423"	"NM_001347423"	359	0.0770551620519425
"NR_026971_A2M-AS1"	2187	41	37	28	16	56	42	47	47	2	3	30	8	5	25	5	7	29	3	7	36	"A2M-AS1"	"NR"	"026971"	"NR_026971"	474	0.216735253772291
"NM_001282424_A2ML1"	3785	2	2	2	6	2	1	4	5	1	0	2	0	0	4	0	1	8	1	1	6	"A2ML1"	"NM"	"001282424"	"NM_001282424"	48	0.0126816380449141
"NR_040112_A2MP1"	1201	1	2	2	1	1	0	0	0	0	0	2	0	0	2	0	1	3	0	0	0	"A2MP1"	"NR"	"040112"	"NR_040112"	15	0.0124895920066611
"NM_001080438_A3GALT2"	1023	4	2	2	7	1	6	9	12	8	2	10	8	1	10	9	1	4	14	2	14	"A3GALT2"	"NM"	"001080438"	"NM_001080438"	126	0.12316715542522
"NM_017436_A4GALT"	2092	331	345	202	296	432	404	291	449	128	146	209	139	169	269	153	262	237	124	205	269	"A4GALT"	"NM"	"017436"	"NM_017436"	5060	2.41873804971319
"NM_016161_A4GNT"	1779	5	1	1	1	0	0	1	2	1	0	0	1	2	1	1	0	0	2	1	1	"A4GNT"	"NM"	"016161"	"NM_016161"	21	0.0118043844856661
